kommunenummer,kommunenavn,adressetype,adressetilleggsnavn,adressetilleggsnavnKilde,adressekode,adressenavn,nummer,bokstav,gardsnummer,bruksnummer,festenummer,seksjonsnummer,undernummer,bruksenhetId,bruksenhetsnummerTekst,offisiellAdresseTekst,offisiellAdresseTekstUtenAdressetilleggsnavn,EPSG-kode,Nord,Øst,postnummer,poststed,grunnkretsnummer,grunnkretsnavn,soknenummer,soknenavn,organisasjonsnummer,tettstednummer,tettstednavn,valgkretsnummer,valgkretsnavn,oppdateringsdato,datauttaksdato,adresseId,uuidAdresse,uuidBruksenhet,atkomstId,uuidAtkomst,atkomstNord,atkomstØst,sommeratkomstId,uuidSommeratkomst,sommeratkomstNord,sommeratkomstØst,vinteratkomstId,uuidVinteratkomst,vinteratkomstNord,vinteratkomstØst,longitude,latitude
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,1203,,5,13,,,,145160609.0,,Ullstindvegen 1203,Ullstindvegen 1203,25833,7748853.1,672711.9,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,313306412,f11c1de4-6a1a-5ac8-aeb8-a6adce0b1bd7,32931718-8e3b-54af-a88a-45dfdc325d46,,,,,,,,,,,,,19.483198937161042,69.79047763602861
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,1139,,5,12,,,,61202474.0,,Ullstindvegen 1139,Ullstindvegen 1139,25833,7748450.0,672293.7,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,313306065,460c6563-0c86-5c43-be09-fca9bcb83831,c4139178-a7da-53e1-8bd8-c27a339cdbe8,,,,,,,,,,,,,19.471619939200576,69.78714863414825
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,1167,,5,21,,,,6403180928.0,,Ullstindvegen 1167,Ullstindvegen 1167,25833,7748710.9,672453.9,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,313306068,fe8b9b0e-a991-558e-ba04-d7c61e0e1dc9,d26adba7-c68b-55b1-bcbe-f849a2d94afc,,,,,,,,,,,,,19.476257344196775,69.78937594509969
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,1171,,5,11,,,,145072988.0,,Ullstindvegen 1171,Ullstindvegen 1171,25833,7748802.9,672446.3,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,313306409,d102ffdc-1843-5638-9d10-5c7dff89da6d,ca4489da-978a-54b7-8255-ffd4b9c8b152,,,,,,,,,,,,,19.476235591731754,69.79020342304452
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,1163,,5,27,,,,60815696.0,,Ullstindvegen 1163,Ullstindvegen 1163,25833,7748727.0,672316.0,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,313306067,ffc0053e-d3ba-5f8c-8488-9d51b5f3a7fb,b9d52b26-e758-54fd-ba89-d0a08da5ab46,,,,,,,,,,,,,19.47272220297843,69.78961041489528
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,1110,,6,26,,,,61173541.0,,Ullstindvegen 1110,Ullstindvegen 1110,25833,7748413.0,671964.0,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,313306060,18babbab-443d-596f-af64-d48227e5ce88,870c1f55-18fa-5692-bd51-13bcc6920b76,,,,,,,,,,,,,19.46302555976357,69.7870339533119
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,1116,,6,6,,,,61173542.0,,Ullstindvegen 1116,Ullstindvegen 1116,25833,7748478.0,672001.0,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,313306061,37469416-ab39-5bd9-800c-6c35e982bc39,44f75002-cd8f-55fb-935a-278a7535d554,,,,,,,,,,,,,19.464105302493543,69.78759083628756
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,1127,,5,24,,,,60811031.0,,Ullstindvegen 1127,Ullstindvegen 1127,25833,7748528.3,672089.0,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,313306063,b4a29b58-2f0f-505d-ae95-da9306b66b60,7cda0cb5-b3e6-5c1d-9b6d-a47d81466476,,,,,,,,,,,,,19.466475890845107,69.78798287388442
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,1113,,6,25,,,,61173515.0,,Ullstindvegen 1113,Ullstindvegen 1113,25833,7748471.0,672058.0,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,313306062,dad6842a-3b6c-5a67-8d46-c7aa17dc8f40,b5fd1870-c0bf-5287-a490-d0c8ad0c163a,,,,,,,,,,,,,19.4655657860705,69.78749091411831
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,1135,,5,9,,,,61173517.0,,Ullstindvegen 1135,Ullstindvegen 1135,25833,7748622.6,672166.0,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,313306066,e027fefe-6768-58a3-ac1b-cba4ff121452,65d9e0d3-cadb-568d-bedf-77b24a50a59d,,,,,,,,,,,,,19.46864558511035,69.78877545891343
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,1129,,5,23,,,,235299452.0,U0101,Ullstindvegen 1129-U0101,Ullstindvegen 1129-U0101,25833,7748544.0,672101.0,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,313306064,cabdeaf8-9fab-5ed4-afd7-4d56311d9d51,52a20ac4-e7dc-5a85-b31c-fcc4409e2af0,,,,,,,,,,,,,19.46681591712308,69.7881153704425
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,1129,,5,23,,,,61173516.0,H0101,Ullstindvegen 1129-H0101,Ullstindvegen 1129-H0101,25833,7748544.0,672101.0,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,313306064,cabdeaf8-9fab-5ed4-afd7-4d56311d9d51,8379c1df-b79d-51fb-b95d-ade2effa0685,,,,,,,,,,,,,19.46681591712308,69.7881153704425
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,1067,,6,7,,,,145519639.0,,Ullstindvegen 1067,Ullstindvegen 1067,25833,7748087.0,671676.0,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,313305796,be0a51c0-90dd-55b2-a251-a3de5002063e,401bc27b-b551-5c5b-bce2-0787a19350fc,,,,,,,,,,,,,19.454963110467123,69.78430784081982
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,1075,,6,23,,,,61173537.0,,Ullstindvegen 1075,Ullstindvegen 1075,25833,7748146.0,671763.0,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,313305797,1baa127b-2257-5fc4-9258-25d5d198534c,af8d396f-a9e0-5bdb-9ddf-fb0cbe043666,,,,,,,,,,,,,19.457323762324904,69.78477843783001
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,1079,,6,15,,,,61173538.0,,Ullstindvegen 1079,Ullstindvegen 1079,25833,7748167.0,671832.9,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,313305798,6522baf9-d888-559f-ace7-97492fafcea4,8cf19a48-0d75-5bfa-bfc8-e1fbf329f2a7,,,,,,,,,,,,,19.459170546830446,69.78492046074176
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,1096,,6,14,,,,145500966.0,,Ullstindvegen 1096,Ullstindvegen 1096,25833,7748331.0,671887.9,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,313306059,e9f19d92-a118-552e-9105-908028fc63ab,c4e291ee-1ba0-55b1-a377-2ed484ebb35c,,,,,,,,,,,,,19.46090280491681,69.78635067388322
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,1029,,6,3,,,,61173514.0,,Ullstindvegen 1029,Ullstindvegen 1029,25833,7747895.0,671378.0,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,313305792,1697aa78-ea14-5143-8f7f-ac18fbf1c318,b6e3b054-fe69-5ff7-8c82-2073b2b5165b,,,,,,,,,,,,,19.446897031157057,69.78278589505652
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,1041,,6,21,,,,61173534.0,,Ullstindvegen 1041,Ullstindvegen 1041,25833,7747973.0,671518.0,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,313305793,46a70893-216f-5fc8-a4ba-81718a134563,a1832bed-10bd-5b3e-90b2-bd94d3e49547,,,,,,,,,,,,,19.450663282517908,69.78339186485033
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,1053,,6,13,,,,,,Ullstindvegen 1053,Ullstindvegen 1053,25833,7748039.8,671580.9,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,313305795,2a3de032-62b0-5f74-80f5-690a858ea1cb,,,,,,,,,,,,,,19.45241545877633,69.78394799972058
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,1049,,6,12,,,,61173535.0,,Ullstindvegen 1049,Ullstindvegen 1049,25833,7748017.0,671597.0,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,313305794,f1921533-737c-5625-bffc-75b8597558ac,49cefe98-59e8-5473-9077-709e3e9278c1,,,,,,,,,,,,,19.45278859204488,69.78373364140234
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,1013,,6,8,,,,61173533.0,,Ullstindvegen 1013,Ullstindvegen 1013,25833,7747871.0,671196.0,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,313305791,70266589-9507-5f6d-8757-4b0ec67112cf,a17d72b9-5ccd-52ff-bda5-63cc20d6b28c,,,,,,,,,,,,,19.442147076866224,69.78269000715521
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,736,,7,101,,,,145519641.0,,Ullstindvegen 736,Ullstindvegen 736,25833,7747121.0,668952.0,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,313215586,8aafa01d-8783-5b29-adce-bfea957c639e,46bd223b-00ac-5a8f-999f-87d142395547,,,,,,,,,,,,,19.382740754875613,69.77743712631616
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,731,,7,88,,,,144826074.0,H0201,Ullstindvegen 731-H0201,Ullstindvegen 731-H0201,25833,7747012.0,668908.0,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,313215585,09446d12-446b-5585-b746-5efcb69d3717,f767aa21-c5d0-581c-ab60-908643915ba0,,,,,,,,,,,,,19.3814009985474,69.7764908224381
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,731,,7,88,,,,61172283.0,H0101,Ullstindvegen 731-H0101,Ullstindvegen 731-H0101,25833,7747012.0,668908.0,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,313215585,09446d12-446b-5585-b746-5efcb69d3717,e4e87c92-93ae-5348-9da6-a90b0856f0f7,,,,,,,,,,,,,19.3814009985474,69.7764908224381
5501,TROMSØ,vegadresse,,,61471,Øvrevollvegen,16,,7,33,,,,145573293.0,,Øvrevollvegen 16,Øvrevollvegen 16,25833,7746732.0,668918.0,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,60756622,d449ba43-a2e1-5a60-b6ad-de3b1e8655e4,eedfeb26-d117-5530-8050-c537db52fd7a,,,,,,,,,,,,,19.381139206797805,69.77398084918491
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,733,,7,88,,,,353359451.0,,Ullstindvegen 733,Ullstindvegen 733,25833,7747035.9,668935.3,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,353359452,be7f28b7-1eb1-5670-b2b9-6ffba70fbef0,aecb2057-5d32-52d8-a2fc-8ea5960e196b,6446407813.0,7517095c-9f9a-5269-b799-b3a21faa598e,7747035.7,668899.6,,,,,,,,,19.382150971244805,69.77668696675376
5501,TROMSØ,vegadresse,,,61472,Geithaugvegen,91,,7,22,,,,143979710.0,,Geithaugvegen 91,Geithaugvegen 91,25833,7746232.7,669005.7,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,143979709,41763c6c-36a9-52ab-af53-bf46394bf16b,ecf67e22-c66a-5d9b-8553-d76c6e30d2e9,,,,,,,,,,,,,19.382477656624715,69.7694601128188
5501,TROMSØ,vegadresse,,,61471,Øvrevollvegen,22,,7,43,,,,61177862.0,,Øvrevollvegen 22,Øvrevollvegen 22,25833,7746646.7,668885.9,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,144486432,b773f97e-c92c-5446-a3ed-930664526bee,99782ffb-75a1-5a0b-adeb-3be403f947d8,,,,,,,,,,,,,19.38015126285323,69.77323879241256
5501,TROMSØ,vegadresse,,,61472,Geithaugvegen,87,,7,28,,,,61177878.0,,Geithaugvegen 87,Geithaugvegen 87,25833,7746308.0,668912.0,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,60756620,2b3058aa-30e9-57f6-a946-ec3f556dd34c,96a28320-2d22-5960-94f3-3561a0c20a07,6452303827.0,4cc25c5e-51e8-5ee4-9261-dd89e721ce3d,7746299.5,669070.7,,,,,,,,,19.380196647974095,69.77019361842301
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,719,,7,90,,,,61172278.0,U0101,Ullstindvegen 719-U0101,Ullstindvegen 719-U0101,25833,7746935.9,668847.5,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,313215584,f8059506-5d68-548a-8d8d-6356b313172c,4c80ad51-18e1-59e5-8c4a-1f59b6fa3440,,,,,,,,,,,,,19.379696051236657,69.77584927807409
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,719,,7,90,,,,61172277.0,H0101,Ullstindvegen 719-H0101,Ullstindvegen 719-H0101,25833,7746935.9,668847.5,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,313215584,f8059506-5d68-548a-8d8d-6356b313172c,92abbf10-7e65-5b17-b243-f660503817be,,,,,,,,,,,,,19.379696051236657,69.77584927807409
5501,TROMSØ,vegadresse,,,61471,Øvrevollvegen,20,,7,61,,,,61177863.0,,Øvrevollvegen 20,Øvrevollvegen 20,25833,7746693.8,668903.8,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,144486433,8306be40-f35c-5658-a0d5-55833042dab8,6994db6b-d202-5586-a882-165ef9117612,,,,,,,,,,,,,19.380701298074857,69.77364842101919
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,729,,7,121,,,,,,Ullstindvegen 729,Ullstindvegen 729,25833,7746984.9,668881.2,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,438192608,bb7a6ad8-c70c-5c8d-8dcf-fc5aab3873ce,,,,,,,,,,,,,,19.380658017021585,69.7762657415556
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,727,,7,120,,,,,,Ullstindvegen 727,Ullstindvegen 727,25833,7746962.7,668862.8,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,438192607,ca12c7f8-2b46-55ec-9300-1feb1139c149,,,,,,,,,,,,,,19.380141243389033,69.77607907146508
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,716,,7,74,,,,61172282.0,H0101,Ullstindvegen 716-H0101,Ullstindvegen 716-H0101,25833,7746969.0,668796.0,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,313215583,691fc3b2-0179-50aa-a2d3-49fead1ad40d,910f1219-17f3-59c8-860d-aed801fe821a,,,,,,,,,,,,,19.378426551106173,69.77617832209206
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,716,,7,74,,,,61172281.0,U0101,Ullstindvegen 716-U0101,Ullstindvegen 716-U0101,25833,7746969.0,668796.0,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,313215583,691fc3b2-0179-50aa-a2d3-49fead1ad40d,d45c32c0-8793-5978-b7a3-9d6c6398ef3f,,,,,,,,,,,,,19.378426551106173,69.77617832209206
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,715,A,7,71,,,,61172275.0,H0101,Ullstindvegen 715A-H0101,Ullstindvegen 715A-H0101,25833,7746884.0,668810.0,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,313215581,4659d8ec-9d5b-55d7-8049-de873a9d1408,48f98a4b-6cca-54bf-bb04-bea8975a0d5a,,,,,,,,,,,,,19.37863053384858,69.7754093207927
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,715,A,7,71,,,,61172276.0,U0101,Ullstindvegen 715A-U0101,Ullstindvegen 715A-U0101,25833,7746884.0,668810.0,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,313215581,4659d8ec-9d5b-55d7-8049-de873a9d1408,4445ab84-2670-5f7d-9a37-dc9166473c47,,,,,,,,,,,,,19.37863053384858,69.7754093207927
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,715,B,7,119,,,,,,Ullstindvegen 715B,Ullstindvegen 715B,25833,7746851.7,668816.7,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,438192605,ae316aad-b584-58a1-b069-768177542781,,,,,,,,,,,,,,19.378743706912257,69.77511621367053
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,715,C,7,118,,,,,,Ullstindvegen 715C,Ullstindvegen 715C,25833,7746827.6,668810.4,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,438192606,ca88922c-866e-5b1a-91a9-142f16203e01,,,,,,,,,,,,,,19.37853614803875,69.7749047764913
